bibItem,creatorstatement,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q237,https://monumenta.wikibase.cloud/entity/statement/Q237-7D337810-5862-4339-8B55-D33C2CEEEAF0,1,,,Ibargüen-Cachopin,Ibargüen-Cachopin,Ibargüen-Cachopin,Ibargüen-Cachopin
https://monumenta.wikibase.cloud/entity/Q445,https://monumenta.wikibase.cloud/entity/statement/Q445-70635D6C-26DD-44D2-B987-F8DF7CCC5F2A,1,Andrea,Abel,Andrea Abel,Andrea Abel,Andrea Abel,Andrea Abel
https://monumenta.wikibase.cloud/entity/Q241,https://monumenta.wikibase.cloud/entity/statement/Q241-FF5C90FF-17D4-4A50-80F4-59DC66A01FD4,1,Jose Maria,Aizpitarte,Jose Maria Aizpitarte,Jose Maria Aizpitarte,Jose Maria Aizpitarte,Jose Maria Aizpitarte
https://monumenta.wikibase.cloud/entity/Q309,https://monumenta.wikibase.cloud/entity/statement/Q309-8D652A44-1E86-47FA-A537-20F4EECAEA99,1,Jose Maria,Aizpitarte,Jose Maria Aizpitarte,Jose Maria Aizpitarte,Jose Maria Aizpitarte,Jose Maria Aizpitarte
https://monumenta.wikibase.cloud/entity/Q395,https://monumenta.wikibase.cloud/entity/statement/Q395-05AB51FF-B84B-47D1-8794-E79514EC3F2E,2,Xabier,Alberdi,Xabier Alberdi,Xabier Alberdi,Xabier Alberdi,Xabier Alberdi
https://monumenta.wikibase.cloud/entity/Q410,https://monumenta.wikibase.cloud/entity/statement/Q410-195F0489-B1DB-4DB8-A3E4-CC3B6076D1F9,1,Mikel,Alonso,Mikel Alonso,Mikel Alonso,Mikel Alonso,Mikel Alonso
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-5569D24E-2CDE-46AC-8D67-74D5B96F9672,2,Olatz,Ansa,Olatz Ansa,Olatz Ansa,Olatz Ansa,Olatz Ansa
https://monumenta.wikibase.cloud/entity/Q336,https://monumenta.wikibase.cloud/entity/statement/Q336-02319CE0-696E-4474-81E9-0F53829F2367,1,Odón de,Apraiz Buesa,Odón de Apraiz Buesa,Odón de Apraiz Buesa,Odón de Apraiz Buesa,Odón de Apraiz Buesa
https://monumenta.wikibase.cloud/entity/Q449,https://monumenta.wikibase.cloud/entity/statement/Q449-D3DA702E-3E92-44B4-A18A-A1A8E79FD3B8,1,Lino de,Aquesolo,Lino de Aquesolo,Lino de Aquesolo,Lino de Aquesolo,Lino de Aquesolo
https://monumenta.wikibase.cloud/entity/Q322,https://monumenta.wikibase.cloud/entity/statement/Q322-F6A61891-78C4-4C4E-8F47-47586EECA76F,1,Ph.,Aranart,Ph. Aranart,Ph. Aranart,Ph. Aranart,Ph. Aranart
