bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-E7961215-CDDA-4B2E-B7A8-05FA151BF2E2,author,2,Aitzol,Astigarraga,Aitzol Astigarraga,Aitzol Astigarraga,Aitzol Astigarraga,Aitzol Astigarraga
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-892C92D8-F040-433C-9430-EBC70FE63F56,author,3,Marije,Bidaguren,Marije Bidaguren,Marije Bidaguren,Marije Bidaguren,Marije Bidaguren
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-9D9935D1-BF1C-4AF9-A10A-F327B91C98EA,author,4,Emilio,Delgado,Emilio Delgado,Emilio Delgado,Emilio Delgado,Emilio Delgado
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-EF65983B-414B-4B95-8436-CF70C52C854F,author,5,Galder,Gonzalez,Galder Gonzalez,Galder Gonzalez,Galder Gonzalez,Galder Gonzalez
https://monumenta.wikibase.cloud/entity/Q793,https://monumenta.wikibase.cloud/entity/statement/Q793-46BC2787-A634-4DC3-8557-19491243CC24,author,2,Alexander,Gurrutxaga,Alexander Gurrutxaga,Alexander Gurrutxaga,Alexander Gurrutxaga,Alexander Gurrutxaga
https://monumenta.wikibase.cloud/entity/Q790,https://monumenta.wikibase.cloud/entity/statement/Q790-6C0DD1A4-771D-4DD6-85B0-E2AD7AA5C139,editor,1,David,Lindemann,David Lindemann,David Lindemann,David Lindemann,David Lindemann
https://monumenta.wikibase.cloud/entity/Q791,https://monumenta.wikibase.cloud/entity/statement/Q791-F9C8845E-6C3D-403B-AFE5-39D8DD14FB54,editor,1,David,Lindemann,David Lindemann,David Lindemann,David Lindemann,David Lindemann
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-F054BAC1-4D4B-4A0B-940B-D9E91E05F593,editor,1,David,Lindemann,David Lindemann,David Lindemann,David Lindemann,David Lindemann
https://monumenta.wikibase.cloud/entity/Q793,https://monumenta.wikibase.cloud/entity/statement/Q793-E21F9B62-F51A-4F72-B854-E23552E3E1C7,editor,1,David,Lindemann,David Lindemann,David Lindemann,David Lindemann,David Lindemann
https://monumenta.wikibase.cloud/entity/Q794,https://monumenta.wikibase.cloud/entity/statement/Q794-1F0150AA-4C71-431E-AB90-259578D4A2FF,editor,1,David,Lindemann,David Lindemann,David Lindemann,David Lindemann,David Lindemann
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-46BF1549-48C0-4A9D-B55F-C6240180A9E2,author,1,David,Lindemann,David Lindemann,David Lindemann,David Lindemann,David Lindemann
https://monumenta.wikibase.cloud/entity/Q791,https://monumenta.wikibase.cloud/entity/statement/Q791-F842A1D9-6EA1-4DD2-AF13-1F156273984A,author,1,Jesus Mari,Makazaga,Jesus Mari Makazaga,Jesus Mari Makazaga,Jesus Mari Makazaga,Jesus Mari Makazaga
https://monumenta.wikibase.cloud/entity/Q793,https://monumenta.wikibase.cloud/entity/statement/Q793-016DBCA6-1989-442D-B3CC-8AC1A21D61A1,author,1,Lourdes,Otaegi,Lourdes Otaegi,Lourdes Otaegi,Lourdes Otaegi,Lourdes Otaegi
https://monumenta.wikibase.cloud/entity/Q790,https://monumenta.wikibase.cloud/entity/statement/Q790-8E3D6329-73CD-48DA-BC9D-8679EF9F3C1A,author,1,Pello,Salaburu,Pello Salaburu,Pello Salaburu,Pello Salaburu,Pello Salaburu
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-1A447092-D907-4B15-BF58-CE8337669EB7,author,6,Kepa,Sarasola,Kepa Sarasola,Kepa Sarasola,Kepa Sarasola,Kepa Sarasola
