bibItem,creatorstatement,listpos,fullName,fullName_recon_Wikidata,Wikidata_Qid,givenName,lastName,creatoritem
https://monumenta.wikibase.cloud/entity/Q417,https://monumenta.wikibase.cloud/entity/statement/Q417-30D99EF8-7E36-42FC-A006-91AEE5081D4D,1,J. Augustin Chaho,J. Augustin Chaho,,J. Augustin,Chaho,t10208
https://monumenta.wikibase.cloud/entity/Q418,https://monumenta.wikibase.cloud/entity/statement/Q418-9860D382-1019-48B9-A02A-95BEE46ED665,1,Blanca Urgell,Blanca Urgell,Q8248653,Blanca,Urgell,t10225
https://monumenta.wikibase.cloud/entity/Q419,https://monumenta.wikibase.cloud/entity/statement/Q419-2C904860-953B-47A5-8757-9E7A14013BEE,1,José Ignacio Hualde,José Ignacio Hualde,Q6292505,José Ignacio,Hualde,t10313
https://monumenta.wikibase.cloud/entity/Q420,https://monumenta.wikibase.cloud/entity/statement/Q420-49A43E41-3C73-4C85-85CF-29BB691DCBA6,2,Léon-Martin Cluzeau,Léon-Martin Cluzeau,,Léon-Martin,Cluzeau,t10216
https://monumenta.wikibase.cloud/entity/Q420,https://monumenta.wikibase.cloud/entity/statement/Q420-7FBF52BB-1E2F-4608-896F-54F9FC6D07F3,1,Fleury de Lécluse,Fleury de Lécluse,Q21544603,Fleury de,Lécluse,t10195
https://monumenta.wikibase.cloud/entity/Q421,https://monumenta.wikibase.cloud/entity/statement/Q421-12201EE2-3823-401A-B836-F16702B0FAA6,5,Iñaki San Vicente,Iñaki San Vicente Roncal.,Q113578669,Iñaki,San Vicente,t10238
https://monumenta.wikibase.cloud/entity/Q421,https://monumenta.wikibase.cloud/entity/statement/Q421-3208DE8E-5D2F-4E96-85AA-5357915D88D9,4,Xabier Saralegi,Xabier Saralegi,Q105668997,Xabier,Saralegi,t10304
https://monumenta.wikibase.cloud/entity/Q421,https://monumenta.wikibase.cloud/entity/statement/Q421-56DC162D-4111-4465-9D6F-15A54FB273C6,2,Igor Leturia,Igor Leturia,Q57083734,Igor,Leturia,t10266
https://monumenta.wikibase.cloud/entity/Q421,https://monumenta.wikibase.cloud/entity/statement/Q421-C4162F8A-A453-4BAB-9511-E52781D69CD3,3,Eli Pociello,Eli Pociello,Q105669149,Eli,Pociello,t10312
https://monumenta.wikibase.cloud/entity/Q421,https://monumenta.wikibase.cloud/entity/statement/Q421-CF9B4582-F207-469A-9EA0-C87C7796C2BF,1,Antton Gurrutxaga,Antton Gurrutxaga,Q65659267,Antton,Gurrutxaga,t10198
