item,claimid,itemLabel,P15_literal,P15_recon,P15_Wikidata
https://monumenta.wikibase.cloud/entity/Q361,https://monumenta.wikibase.cloud/entity/statement/Q361-582FAF07-2A7A-4ABC-9834-5A5DB0AC6517,Diccionario: Vasco-Castellano,Zarautz,Zarautz,Q147774
https://monumenta.wikibase.cloud/entity/Q362,https://monumenta.wikibase.cloud/entity/statement/Q362-5126F926-00E3-4000-8648-E79C1AF9C4B3,"Diccionario vasco-español. Cuarta edición, mejorada y aumentada",San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q363,https://monumenta.wikibase.cloud/entity/statement/Q363-FCA72A50-97E5-4366-B18C-902D70AB50CB,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q364,https://monumenta.wikibase.cloud/entity/statement/Q364-FEE75755-3AAA-431E-AFF5-0DCCD382ADAF,Diccionario vasco-caldaico-castellano,Pamplona,Pamplona,Q10282
https://monumenta.wikibase.cloud/entity/Q365,https://monumenta.wikibase.cloud/entity/statement/Q365-FBE9A3EF-2B7E-4958-B68E-C96A7300D35F,Dictionnaire basque-français et français-basque,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q366,https://monumenta.wikibase.cloud/entity/statement/Q366-6A37F656-D70E-45E2-B885-1A1246823C33,"Dictionnaire basque-français (dialectes labourdin, bas-navarrais et souletin)",Cressé,Cressé,Q1349589
https://monumenta.wikibase.cloud/entity/Q367,https://monumenta.wikibase.cloud/entity/statement/Q367-76FA0991-AB49-4A83-BC25-04EAD0CCF93B,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q368,https://monumenta.wikibase.cloud/entity/statement/Q368-F82B542B-E4AB-4D64-BB32-8C1326463FF7,Diccionario Vasco-Español-Francés,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q369,https://monumenta.wikibase.cloud/entity/statement/Q369-C0636EBC-EF45-4E7A-8C70-AD11FEADE025,Diccionario vasco-castellano (euskera-erdera) = Iztegi euskera-erdera (vasco-castellano),Buenos Aires,Buenos Aires,Q1486
https://monumenta.wikibase.cloud/entity/Q370,https://monumenta.wikibase.cloud/entity/statement/Q370-2B9E262C-CF0B-4643-BFF0-F36A62536527,Diccionario vasco-castellano,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q371,https://monumenta.wikibase.cloud/entity/statement/Q371-7B804198-C8B7-4888-8D52-A8BBE75E5216,Diccionario marítimo ilustrado: castellano-vasco-vasco castellano = Irudidun itxas-iztegia: erdera-euskera-euskera-erdera,Pasajes,Pasaia,Q847127
https://monumenta.wikibase.cloud/entity/Q372,https://monumenta.wikibase.cloud/entity/statement/Q372-181BD09B-3EB3-4186-930B-CFB4A3D8818B,Diccionario español y vasco,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q373,https://monumenta.wikibase.cloud/entity/statement/Q373-B38AB8EE-9C5C-4295-8795-47B9167CEA1E,Diccionario de bolsillo: vasco-español y español-vasco,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q374,https://monumenta.wikibase.cloud/entity/statement/Q374-FB7252B6-CF6F-432E-AFF1-4B28349775DE,Diccionario castellano-vasco y vasco-castellabi de voces comunes a dos ó más dialectos: extraído del diccionario mayor de R. Ma. de Azcué y con su autorización,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q375,https://monumenta.wikibase.cloud/entity/statement/Q375-CE1BFC90-1EB3-4AAB-B894-F2AE26F079A0,Diccionario castellano-vasco,Zarautz,Zarautz,Q147774
https://monumenta.wikibase.cloud/entity/Q376,https://monumenta.wikibase.cloud/entity/statement/Q376-A8D26426-E68D-47CA-A353-97BC6F03E9FC,Diccionario castellano-euzkera,Tolosa,Tolosa,Q497801
https://monumenta.wikibase.cloud/entity/Q377,https://monumenta.wikibase.cloud/entity/statement/Q377-39F0AF9F-56FE-481E-8D64-9653F8D0AD40,Diccionario castellano-vasco y vasco-castellano de voces comunes a dos o más dialectos,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q385,https://monumenta.wikibase.cloud/entity/statement/Q385-60B417D7-ACED-4091-AE81-5EB9E2BEC2EE,Apellidos vascos,San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q386,https://monumenta.wikibase.cloud/entity/statement/Q386-61B81B58-0991-459D-B168-2D3834E10B55,Apellidos vascos,San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q387,https://monumenta.wikibase.cloud/entity/statement/Q387-CB04158D-420D-41A4-8A4F-DE0486498DC7,"Deun-ixendegi euskotarra edo deunen ixenal euskeratuta ta ixentzat ezarten diran jayetako ixenan euskerazko ikurrpenak Arana-Goiri'tar Sabin'ak asmaubak egutegi bizkatara'rentzat eleizalde'tar koldobika'k egindako itxaure bategaz = Santoral vasco, ó sea, lista de nombres euskerizados de los santos y traducción de los nombres de festividad aplicables como nombres propios",Bilbao,Bilbao,Q8692
