item,itemLabel,P15
https://monumenta.wikibase.cloud/entity/Q229,Opus de rebus Hispaniae memorabilibus,
https://monumenta.wikibase.cloud/entity/Q221,"Tresora hirour lenguaietaqua francesa, espagnola eta hasquara",
https://monumenta.wikibase.cloud/entity/Q230,Los vascos vistos en dos momentos de su historia,
https://monumenta.wikibase.cloud/entity/Q234,Modo breve de aprender la lengua vizcayna,
https://monumenta.wikibase.cloud/entity/Q260,"Voces bascongadas: Voces bascongadas diferenciales de Bizcaya, Guipuzcoa y navarra con la distinción que las usa cada nación, anotadas con sus letras iniciales",
https://monumenta.wikibase.cloud/entity/Q279,Lexicón del euskera dialectal de Eibar (arrate'tikuen izketia),
https://monumenta.wikibase.cloud/entity/Q286,Euskal iztegi laburra,
https://monumenta.wikibase.cloud/entity/Q301,"Diccionario marítimo ilustrado: castellano-vasco, vasco-castellano = Irudidun itxas-iztegia = erdera-euskera, euskera-erdera",
https://monumenta.wikibase.cloud/entity/Q320,"Vocabulario vasco-castellano, suplemento a su Gramática vasca, en cuyo tomo se da el castellano-vasco",
https://monumenta.wikibase.cloud/entity/Q329,Tratado etimologico de los apellidos euzkericos,
https://monumenta.wikibase.cloud/entity/Q330,Tratado etimológico de los apellidos euskéricos,
https://monumenta.wikibase.cloud/entity/Q349,Gramática vascongada con vocabulario vizcaino-castellano y castellano-vizcaino,
https://monumenta.wikibase.cloud/entity/Q355,Flexiones verbales y lexicón del euskera dialectal de Eibar,
https://monumenta.wikibase.cloud/entity/Q358,El bascuence facilitado. Gramática bizkaina ó método teórico-práctico para aprender en poco tiempo el baskuence bizcaino,
https://monumenta.wikibase.cloud/entity/Q368,Diccionario Vasco-Español-Francés,
https://monumenta.wikibase.cloud/entity/Q370,Diccionario vasco-castellano,
https://monumenta.wikibase.cloud/entity/Q372,Diccionario español y vasco,
https://monumenta.wikibase.cloud/entity/Q373,Diccionario de bolsillo: vasco-español y español-vasco,
https://monumenta.wikibase.cloud/entity/Q374,Diccionario castellano-vasco y vasco-castellabi de voces comunes a dos ó más dialectos: extraído del diccionario mayor de R. Ma. de Azcué y con su autorización,
https://monumenta.wikibase.cloud/entity/Q377,Diccionario castellano-vasco y vasco-castellano de voces comunes a dos o más dialectos,
https://monumenta.wikibase.cloud/entity/Q387,"Deun-ixendegi euskotarra edo deunen ixenal euskeratuta ta ixentzat ezarten diran jayetako ixenan euskerazko ikurrpenak Arana-Goiri'tar Sabin'ak asmaubak egutegi bizkatara'rentzat eleizalde'tar koldobika'k egindako itxaure bategaz = Santoral vasco, ó sea, lista de nombres euskerizados de los santos y traducción de los nombres de festividad aplicables como nombres propios",
https://monumenta.wikibase.cloud/entity/Q422,Euskarazko lexikogintza juridiko-administratiboa: Larramendiren eragina,
https://monumenta.wikibase.cloud/entity/Q437,Estudio sobre las fuentes del Diccionario de Azkue,
