item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q229,Opus de rebus Hispaniae memorabilibus,Alcalá de Henares,Alcalá de Henares
https://monumenta.wikibase.cloud/entity/Q221,"Tresora hirour lenguaietaqua francesa, espagnola eta hasquara",Baiona,Baiona
https://monumenta.wikibase.cloud/entity/Q230,Los vascos vistos en dos momentos de su historia,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q234,Modo breve de aprender la lengua vizcayna,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q260,"Voces bascongadas: Voces bascongadas diferenciales de Bizcaya, Guipuzcoa y navarra con la distinción que las usa cada nación, anotadas con sus letras iniciales",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q279,Lexicón del euskera dialectal de Eibar (arrate'tikuen izketia),Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q286,Euskal iztegi laburra,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q301,"Diccionario marítimo ilustrado: castellano-vasco, vasco-castellano = Irudidun itxas-iztegia = erdera-euskera, euskera-erdera",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q320,"Vocabulario vasco-castellano, suplemento a su Gramática vasca, en cuyo tomo se da el castellano-vasco",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q329,Tratado etimologico de los apellidos euzkericos,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q330,Tratado etimológico de los apellidos euskéricos,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q349,Gramática vascongada con vocabulario vizcaino-castellano y castellano-vizcaino,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q355,Flexiones verbales y lexicón del euskera dialectal de Eibar,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q358,El bascuence facilitado. Gramática bizkaina ó método teórico-práctico para aprender en poco tiempo el baskuence bizcaino,Bilbao,Bilbao
