item,itemLabel,claimid,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q361,Diccionario: Vasco-Castellano,https://monumenta.wikibase.cloud/entity/statement/Q361-582FAF07-2A7A-4ABC-9834-5A5DB0AC6517,Zarautz,Zarautz
https://monumenta.wikibase.cloud/entity/Q362,"Diccionario vasco-español. Cuarta edición, mejorada y aumentada",https://monumenta.wikibase.cloud/entity/statement/Q362-5126F926-00E3-4000-8648-E79C1AF9C4B3,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q363,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",https://monumenta.wikibase.cloud/entity/statement/Q363-FCA72A50-97E5-4366-B18C-902D70AB50CB,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q364,Diccionario vasco-caldaico-castellano,https://monumenta.wikibase.cloud/entity/statement/Q364-FEE75755-3AAA-431E-AFF5-0DCCD382ADAF,Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q365,Dictionnaire basque-français et français-basque,https://monumenta.wikibase.cloud/entity/statement/Q365-FBE9A3EF-2B7E-4958-B68E-C96A7300D35F,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q366,"Dictionnaire basque-français (dialectes labourdin, bas-navarrais et souletin)",https://monumenta.wikibase.cloud/entity/statement/Q366-6A37F656-D70E-45E2-B885-1A1246823C33,Cressé,Cressé
https://monumenta.wikibase.cloud/entity/Q367,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",https://monumenta.wikibase.cloud/entity/statement/Q367-76FA0991-AB49-4A83-BC25-04EAD0CCF93B,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q368,Diccionario Vasco-Español-Francés,https://monumenta.wikibase.cloud/entity/statement/Q368-F82B542B-E4AB-4D64-BB32-8C1326463FF7,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q369,Diccionario vasco-castellano (euskera-erdera) = Iztegi euskera-erdera (vasco-castellano),https://monumenta.wikibase.cloud/entity/statement/Q369-C0636EBC-EF45-4E7A-8C70-AD11FEADE025,Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q370,Diccionario vasco-castellano,https://monumenta.wikibase.cloud/entity/statement/Q370-2B9E262C-CF0B-4643-BFF0-F36A62536527,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q371,Diccionario marítimo ilustrado: castellano-vasco-vasco castellano = Irudidun itxas-iztegia: erdera-euskera-euskera-erdera,https://monumenta.wikibase.cloud/entity/statement/Q371-7B804198-C8B7-4888-8D52-A8BBE75E5216,Pasajes,Pasajes
https://monumenta.wikibase.cloud/entity/Q372,Diccionario español y vasco,https://monumenta.wikibase.cloud/entity/statement/Q372-181BD09B-3EB3-4186-930B-CFB4A3D8818B,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q373,Diccionario de bolsillo: vasco-español y español-vasco,https://monumenta.wikibase.cloud/entity/statement/Q373-B38AB8EE-9C5C-4295-8795-47B9167CEA1E,Bilbao,Bilbao
